,0
age_band_55<=,0.9929589617920133
highest_education_No Formal quals,0.9900597107651952
highest_education_Post Graduate Qualification,0.9896110171539019
code_module_AAA,0.9746660684085183
imd_band_Unknown,0.9637938770579505
region_Ireland,0.961792013253719
region_North Region,0.943844268801988
region_Yorkshire Region,0.9392883029027025
region_South East Region,0.9351120008283574
region_Wales,0.9332136817036552
region_East Midlands Region,0.9289683498429573
region_South West Region,0.9247230179822593
region_West Midlands Region,0.9227211541780278
code_module_GGG,0.9223069754599109
imd_band_90-100%,0.9193732095399165
imd_band_80-90%,0.9142304904566321
region_North Western Region,0.913712767058986
imd_band_70-80%,0.9099161288095813
imd_band_60-70%,0.9090187415869948
code_module_EEE,0.907845235218997
region_South Region,0.904014082076416
region_London Region,0.9039105373968868
disability_Y,0.9036689331446519
imd_band_0-10%,0.9036344182514755
imd_band_50-60%,0.9026680012425361
imd_band_40-50%,0.900010354467953
region_East Anglian Region,0.8979394608773685
imd_band_10-20,0.8960756566458427
imd_band_20-30%,0.8907948779898526
region_Scotland,0.8907603630966762
imd_band_30-40%,0.890484243951265
num_of_prev_attempts,0.8764021675352914
code_module_CCC,0.8628723294101405
code_presentation_2013B,0.8535878231456874
highest_education_HE Qualification,0.8512062955165154
code_module_DDD,0.8024712663514306
code_module_BBB,0.7737548752286612
code_presentation_2014B,0.7655403306526767
code_module_FFF,0.7560832499223414
code_presentation_2013J,0.728643909847099
age_band_35-55,0.7081075484071376
code_presentation_2014J,0.652227936354537
highest_education_Lower Than A Level,0.6066337624685052
highest_education_A Level or Equivalent,0.5624892140958824
gender_F,0.5588996652055361
gender_M,0.4411003347944638
age_band_0-35,0.29893348980084905
assess_max,0.19452593794222206
assess_mean,0.19452593794222206
assess_count,0.19141959755634555
disability_N,0.09633106685534808
vle_std,0.016739723190556725
vle_mean,0.0
studied_credits,0.0
vle_total,0.0
