,0
age_band_55<=,0.0069993465980681315
highest_education_No Formal quals,0.009872370411684976
highest_education_Post Graduate Qualification,0.010276597548404246
code_module_AAA,0.024634643953975598
imd_band_Unknown,0.03480129482361053
region_Ireland,0.03671119745986284
region_North Region,0.05296815561724653
region_Yorkshire Region,0.057067675115310815
region_South East Region,0.06076527300856826
region_Wales,0.06231772597711831
region_East Midlands Region,0.0660529217754091
region_South West Region,0.0695169208106516
region_West Midlands Region,0.07144005365310904
code_module_GGG,0.07268746228548827
imd_band_90-100%,0.07404590769941793
imd_band_80-90%,0.07846038650320054
region_North Western Region,0.07880201667501138
imd_band_70-80%,0.0820587046453368
imd_band_60-70%,0.08262189288695948
code_module_EEE,0.08360519633598815
region_South Region,0.08678787318495255
region_London Region,0.0869545312194713
disability_N,0.08703782831398107
disability_Y,0.08703782831398107
imd_band_0-10%,0.0872321054384866
imd_band_50-60%,0.08795269175260845
imd_band_40-50%,0.08991230402154074
region_East Anglian Region,0.09164113372836338
imd_band_10-20,0.09308827709309823
region_Scotland,0.09712107567994098
imd_band_20-30%,0.09736298627608128
imd_band_30-40%,0.09744358057779531
code_module_CCC,0.11805099232659155
code_presentation_2013B,0.12478277662576454
highest_education_HE Qualification,0.12655298767460513
code_module_DDD,0.1582307975208736
code_module_BBB,0.17527336035695762
code_presentation_2014B,0.17962609819844957
code_module_FFF,0.18411331357825897
code_presentation_2013J,0.19796672279419075
age_band_35-55,0.20693977023466217
age_band_0-35,0.209815808974626
num_of_prev_attempts,0.22148409888946122
code_presentation_2014J,0.2266849816230071
highest_education_Lower Than A Level,0.23875250453774197
highest_education_A Level or Equivalent,0.24605127470341084
gender_F,0.24662976221833957
gender_M,0.24662976221833957
assess_count,1.4305792506105222
vle_mean,1.569447587518223
vle_std,29.930197465883694
assess_mean,1033.6655640132694
assess_max,1185.0870658848642
studied_credits,1555.4141943886366
vle_total,417574.2041806704
