,0
age_band_55<=,0.9929133577864037
highest_education_No Formal quals,0.989993233859193
highest_education_Post Graduate Qualification,0.989494676115523
code_module_AAA,0.974003774794345
imd_band_Unknown,0.9630711157010078
region_Ireland,0.9627150030269578
region_North Region,0.9431644172216089
region_Yorkshire Region,0.9390335102026282
region_South East Region,0.9347245468466223
region_Wales,0.9336205975570671
region_East Midlands Region,0.928528186318151
code_module_GGG,0.9262134539368256
region_South West Region,0.9248246145080303
region_West Midlands Region,0.9227591609985399
imd_band_90-100%,0.9183077525729141
imd_band_80-90%,0.9142124568213382
region_North Western Region,0.9137851216124782
imd_band_70-80%,0.9095829920586874
imd_band_60-70%,0.9086570991061572
code_module_EEE,0.907446316014387
region_London Region,0.9051315836330615
imd_band_0-10%,0.9044905808197714
region_South Region,0.9037427442042663
disability_Y,0.9035290765998362
imd_band_50-60%,0.9031017413909761
imd_band_40-50%,0.9000391723941455
region_East Anglian Region,0.897332716071365
imd_band_10-20,0.8964424343862398
imd_band_20-30%,0.8914568569495388
imd_band_30-40%,0.8906377977992237
region_Scotland,0.8906377977992237
num_of_prev_attempts,0.8787080232185464
assess_mean,0.8672768063815391
assess_max,0.8672768063815391
assess_count,0.8669563049748941
code_module_CCC,0.8622912289448381
code_presentation_2013B,0.8532459670239664
highest_education_HE Qualification,0.8501833980271358
code_module_DDD,0.7999002884512659
code_module_BBB,0.7775008012535166
code_presentation_2014B,0.7657134717424593
code_module_FFF,0.7526441366048218
code_presentation_2013J,0.7291763113849222
age_band_35-55,0.7084149424878031
code_presentation_2014J,0.6518642498486521
highest_education_Lower Than A Level,0.6082048360101135
gender_F,0.5624799686620847
highest_education_A Level or Equivalent,0.5621238559880346
gender_M,0.43752003133791534
age_band_0-35,0.2986716997257932
disability_N,0.0964709234001638
vle_std,0.030269577294255903
vle_mean,0.0
studied_credits,0.0
vle_total,0.0
