id_student,total_clicks,avg_daily_clicks,std_clicks,active_days,interactions,assess_mean,assess_max,assess_count,Week,Days
6516,548,4.892857142857143,5.502427216847604,20,112,0.0,0.0,0.0,2,14
8462,324,2.793103448275862,2.9028239365481165,15,116,86.5,93.0,4.0,2,14
11391,301,6.688888888888889,12.947134155027625,6,45,0.0,0.0,0.0,2,14
23629,42,2.4705882352941178,2.267091943956606,4,17,67.0,67.0,1.0,2,14
23698,346,3.46,10.127889287217817,23,100,0.0,0.0,0.0,2,14
23798,94,2.238095238095238,1.7364039629117978,6,42,0.0,0.0,0.0,2,14
24186,14,1.75,1.7525491637693282,2,8,0.0,0.0,0.0,2,14
24213,324,3.6818181818181817,3.74946878856822,15,88,0.0,0.0,0.0,2,14
24391,32,2.1333333333333333,1.6417180315870614,4,15,0.0,0.0,0.0,2,14
24734,50,2.0833333333333335,1.6396358733271998,5,24,0.0,0.0,0.0,2,14
25107,15,1.25,0.621581560508061,3,12,0.0,0.0,0.0,2,14
25150,67,2.68,2.230844384233617,10,25,0.0,0.0,0.0,2,14
25261,514,3.4266666666666667,3.706237562273761,20,150,0.0,0.0,0.0,2,14
25572,38,2.0,0.9428090415820635,10,19,0.0,0.0,0.0,2,14
25629,16,2.2857142857142856,1.1126972805283737,3,7,0.0,0.0,0.0,2,14
26023,88,2.0952380952380953,1.7642731358906851,11,42,0.0,0.0,0.0,2,14
26192,495,4.024390243902439,4.335260339024307,16,123,0.0,0.0,0.0,2,14
26211,1206,4.2020905923344944,6.147453491107579,27,287,0.0,0.0,0.0,2,14
26247,220,2.682926829268293,2.8539686415455976,10,82,0.0,0.0,0.0,2,14
26315,313,3.0686274509803924,5.095639378106954,15,102,1.0,1.0,1.0,2,14
26734,85,2.125,2.553906007948589,8,40,100.0,100.0,1.0,2,14
26915,60,2.0,1.4383899044561521,6,30,0.0,0.0,0.0,2,14
27116,258,2.8351648351648353,6.1033028148950015,16,91,0.0,0.0,0.0,2,14
27189,199,4.326086956521739,5.545986928806518,3,46,0.0,0.0,0.0,2,14
27417,65,2.6,2.886751345948129,6,25,80.0,80.0,1.0,2,14
27683,39,2.2941176470588234,2.888873177433395,7,17,0.0,0.0,0.0,2,14
27759,110,1.8644067796610169,2.4456691286537104,9,59,0.0,0.0,0.0,2,14
27780,48,2.0869565217391304,1.9519930019961385,6,23,0.0,0.0,0.0,2,14
27891,170,3.4693877551020407,4.243141725264461,6,49,69.16666666666667,100.0,6.0,2,14
27935,227,2.768292682926829,2.9660581168927402,8,82,0.0,0.0,0.0,2,14
28046,77,2.4838709677419355,2.528121407184071,7,31,0.0,0.0,0.0,2,14
28061,407,3.0148148148148146,3.1622426983647185,21,135,0.0,0.0,0.0,2,14
28400,456,3.648,3.8400604833946343,14,125,0.0,0.0,0.0,2,14
28418,74,2.0,1.9860625479688307,4,37,0.0,0.0,0.0,2,14
28787,108,2.16,2.5821996634731437,9,50,0.0,0.0,0.0,2,14
28808,95,2.111111111111111,2.0474176886798627,7,45,0.0,0.0,0.0,2,14
28897,413,3.304,4.99552057411954,13,125,0.0,0.0,0.0,2,14
28952,46,2.1904761904761907,3.68264914998765,3,21,0.0,0.0,0.0,2,14
29144,138,2.5555555555555554,2.9375041817178853,6,54,0.0,0.0,0.0,2,14
29335,598,3.497076023391813,6.02189560638396,18,171,87.0,87.0,1.0,2,14
29411,217,2.191919191919192,3.3032969543947495,19,99,0.0,0.0,0.0,2,14
29420,64,1.9393939393939394,3.0304640108755816,7,33,0.0,0.0,0.0,2,14
29639,1737,5.828859060402684,13.118249017293913,33,298,0.0,0.0,0.0,2,14
29764,160,4.848484848484849,11.803392552888162,9,33,0.0,0.0,0.0,2,14
29769,307,3.13265306122449,4.549017691861268,17,98,0.0,0.0,0.0,2,14
29820,336,1.8983050847457628,2.1161842422869386,16,177,0.0,0.0,0.0,2,14
29985,49,1.8846153846153846,1.7047445105216927,5,26,0.0,0.0,0.0,2,14
30091,197,4.282608695652174,6.209895484818336,5,46,0.0,0.0,0.0,2,14
30096,282,3.863013698630137,9.955895892068108,13,73,94.0,94.0,1.0,2,14
30268,281,3.6973684210526314,4.056335741666708,12,76,0.0,0.0,0.0,2,14
30531,326,3.0185185185185186,3.8035435555667174,14,108,0.0,0.0,0.0,2,14
30549,28,2.0,2.148344622118299,3,14,0.0,0.0,0.0,2,14
30850,489,5.433333333333334,12.801904703790909,15,90,0.0,0.0,0.0,2,14
31014,277,4.073529411764706,4.902987747268832,13,68,85.0,85.0,1.0,2,14
31107,409,4.811764705882353,4.235603396737445,21,85,0.0,0.0,0.0,2,14
31161,542,3.345679012345679,5.710751533419326,21,162,0.0,0.0,0.0,2,14
31173,67,2.09375,2.160635733804648,5,32,0.0,0.0,0.0,2,14
31205,169,3.38,3.63031454194666,8,50,0.0,0.0,0.0,2,14
31269,332,2.3380281690140845,2.762174402861809,20,142,0.0,0.0,0.0,2,14
31296,8,2.6666666666666665,1.5275252316519465,3,3,0.0,0.0,0.0,2,14
31600,90,3.6,3.915780041490243,6,25,0.0,0.0,0.0,2,14
31604,349,3.8351648351648353,3.9784523408082983,13,91,0.0,0.0,0.0,2,14
31663,727,3.4292452830188678,3.9785793025356835,23,212,0.0,0.0,0.0,2,14
