,0
age_band_55<=,0.0069917033068331745
highest_education_No Formal quals,0.009841819574084502
highest_education_Post Graduate Qualification,0.010281406743177013
code_module_AAA,0.024692975777021002
imd_band_Unknown,0.034896444050593334
region_Ireland,0.03674940489686135
region_North Region,0.05300409448228753
region_Yorkshire Region,0.057027755239743655
region_South East Region,0.060679641086473564
region_Wales,0.06232805723100141
region_East Midlands Region,0.06598843241670599
region_South West Region,0.06961276067303974
region_West Midlands Region,0.0713092870428208
code_module_GGG,0.07165929179070342
imd_band_90-100%,0.07412866966330404
imd_band_80-90%,0.07841580728927003
region_North Western Region,0.07884446768077677
imd_band_70-80%,0.0819715965826663
imd_band_60-70%,0.08270652363741955
code_module_EEE,0.08366515180293808
region_South Region,0.08677561653508603
region_London Region,0.08685927571838094
disability_Y,0.08705439708707455
disability_N,0.08705439708707456
imd_band_0-10%,0.08708226203776474
imd_band_50-60%,0.08786151330608698
imd_band_40-50%,0.08999482248010701
region_East Anglian Region,0.09164734867507864
imd_band_10-20,0.09312728849097861
imd_band_20-30%,0.09728272103962078
region_Scotland,0.09730969726635996
imd_band_30-40%,0.09752542130530732
code_module_CCC,0.11832775661833798
code_presentation_2013B,0.12497996499323505
highest_education_HE Qualification,0.12665850959449462
code_module_DDD,0.15851660421542307
code_module_BBB,0.17506431061452002
code_presentation_2014B,0.17949452803132793
code_module_FFF,0.1844277346127705
code_presentation_2013J,0.19772878707779554
age_band_35-55,0.20669838246856145
age_band_0-35,0.20957949209011623
num_of_prev_attempts,0.21949326732994187
code_presentation_2014J,0.2268344845612423
highest_education_Lower Than A Level,0.23863747724884554
highest_education_A Level or Equivalent,0.24610359236087964
gender_F,0.24653933871761533
gender_M,0.24653933871761533
assess_count,0.7332250554641181
vle_mean,1.5830749250313094
vle_std,19.60908932427439
assess_mean,1206.340537328309
assess_max,1269.8920758580073
studied_credits,1554.1534061746415
vle_total,286234.1258717411
